Mass,Zprime_tau_m_right_bottom_left,Zprime_tau_m_left_bottom_left,Zprime_tau_m_left_bottom_right,Zprime_tau_m_right_bottom_right,sLQ_tau_m_right,sLQ_tau_m_left,vLQ_tau_m_L_tau_p_R,vLQ_tau_m_R_tau_p_L,vLQ_tau_m_L_tau_p_L,vLQ_tau_m_R_tau_p_R
3550,6.361e-06,6.394e-06,6.361e-06,6.394e-06,3.986e-05,2.613e-09,4.735e-05,3.975e-05,0.0001407,0.0001389
3560,6.247e-06,6.273e-06,6.247e-06,6.273e-06,3.916e-05,2.557e-09,4.8e-05,4.074e-05,0.0001382,0.0001369
3570,6.218e-06,6.205e-06,6.218e-06,6.205e-06,3.863e-05,2.508e-09,4.677e-05,4.039e-05,0.0001375,0.0001354
3580,6.198e-06,6.091e-06,6.198e-06,6.091e-06,3.825e-05,2.504e-09,4.749e-05,4.03e-05,0.0001356,0.0001345
3590,5.883e-06,5.889e-06,5.883e-06,5.889e-06,3.737e-05,2.476e-09,4.663e-05,3.949e-05,0.0001336,0.0001331
3600,5.81e-06,5.932e-06,5.81e-06,5.932e-06,3.679e-05,2.469e-09,4.609e-05,3.869e-05,0.0001334,0.0001321
3610,5.749e-06,5.8e-06,5.749e-06,5.8e-06,3.576e-05,2.442e-09,4.563e-05,3.772e-05,0.0001328,0.000131
3620,5.694e-06,5.655e-06,5.694e-06,5.655e-06,3.525e-05,2.438e-09,4.41e-05,3.826e-05,0.0001289,0.0001287
3630,5.539e-06,5.535e-06,5.539e-06,5.535e-06,3.609e-05,2.397e-09,4.46e-05,3.782e-05,0.0001293,0.0001265
3640,5.386e-06,5.461e-06,5.386e-06,5.461e-06,3.563e-05,2.333e-09,4.451e-05,3.742e-05,0.000127,0.000125
3650,5.443e-06,5.296e-06,5.443e-06,5.296e-06,3.481e-05,2.352e-09,4.351e-05,3.594e-05,0.0001266,0.0001237
3660,5.28e-06,5.307e-06,5.28e-06,5.307e-06,3.447e-05,2.289e-09,4.309e-05,3.633e-05,0.000124,0.0001245
3670,5.185e-06,5.185e-06,5.185e-06,5.185e-06,3.346e-05,2.31e-09,4.239e-05,3.571e-05,0.0001219,0.0001223
3680,5.143e-06,5.151e-06,5.143e-06,5.151e-06,3.339e-05,2.216e-09,4.215e-05,3.557e-05,0.0001227,0.0001213
3690,5.031e-06,5.055e-06,5.031e-06,5.055e-06,3.415e-05,2.251e-09,4.127e-05,3.482e-05,0.0001209,0.0001187
3700,4.891e-06,4.907e-06,4.891e-06,4.907e-06,3.232e-05,2.193e-09,4.083e-05,3.459e-05,0.000121,0.0001185
3710,4.864e-06,4.896e-06,4.864e-06,4.896e-06,3.253e-05,2.172e-09,4.06e-05,3.409e-05,0.0001179,0.0001117
3720,4.823e-06,4.807e-06,4.823e-06,4.807e-06,3.275e-05,2.15e-09,4.03e-05,3.412e-05,0.0001172,0.0001158
3730,4.715e-06,4.725e-06,4.715e-06,4.725e-06,3.294e-05,2.135e-09,4.031e-05,3.408e-05,0.0001156,0.0001159
3740,4.63e-06,4.733e-06,4.63e-06,4.733e-06,3.274e-05,2.149e-09,3.962e-05,3.318e-05,0.0001126,0.0001134
3750,4.594e-06,4.554e-06,4.594e-06,4.554e-06,3.129e-05,2.119e-09,3.871e-05,3.285e-05,0.0001128,0.000112
3760,4.485e-06,4.482e-06,4.485e-06,4.482e-06,3.174e-05,2.116e-09,3.87e-05,3.289e-05,0.0001125,0.0001098
3770,4.428e-06,4.415e-06,4.428e-06,4.415e-06,3.112e-05,2.078e-09,3.814e-05,3.239e-05,0.0001112,0.0001101
3780,4.358e-06,4.334e-06,4.358e-06,4.334e-06,3.148e-05,2.054e-09,3.813e-05,3.182e-05,0.0001104,0.0001021
3790,4.254e-06,4.302e-06,4.254e-06,4.302e-06,3.077e-05,2.044e-09,3.79e-05,3.167e-05,0.0001095,0.0001068
3800,4.236e-06,4.23e-06,4.236e-06,4.23e-06,3.042e-05,2.013e-09,3.713e-05,3.151e-05,0.0001068,0.0001067
3810,4.136e-06,4.111e-06,4.136e-06,4.111e-06,3.009e-05,1.986e-09,3.643e-05,3.039e-05,0.000107,0.0001057
3820,4.096e-06,4.097e-06,4.096e-06,4.097e-06,2.979e-05,1.923e-09,3.651e-05,3.082e-05,0.0001038,0.0001044
3830,4.042e-06,4.009e-06,4.042e-06,4.009e-06,2.916e-05,1.949e-09,3.496e-05,3.068e-05,0.0001041,0.0001021
3840,3.989e-06,4.012e-06,3.989e-06,4.012e-06,2.89e-05,1.903e-09,3.58e-05,2.924e-05,0.0001033,0.0001011
3850,3.929e-06,3.926e-06,3.929e-06,3.926e-06,2.825e-05,1.917e-09,3.564e-05,2.96e-05,0.0001018,0.0001
3860,3.789e-06,3.857e-06,3.789e-06,3.857e-06,2.793e-05,1.896e-09,3.461e-05,2.957e-05,0.0001015,9.667e-05
3870,3.8e-06,3.799e-06,3.8e-06,3.799e-06,2.814e-05,1.85e-09,3.471e-05,2.927e-05,0.0001009,9.785e-05
3880,3.699e-06,3.74e-06,3.699e-06,3.74e-06,2.578e-05,1.845e-09,3.416e-05,2.903e-05,9.733e-05,9.871e-05
3890,3.671e-06,3.665e-06,3.671e-06,3.665e-06,2.752e-05,1.814e-09,3.381e-05,2.845e-05,9.69e-05,9.74e-05
3900,3.612e-06,3.605e-06,3.612e-06,3.605e-06,2.742e-05,1.808e-09,3.329e-05,2.775e-05,9.729e-05,9.594e-05
3910,3.567e-06,3.552e-06,3.567e-06,3.552e-06,2.671e-05,1.795e-09,3.289e-05,2.767e-05,9.617e-05,9.548e-05
3920,3.498e-06,3.474e-06,3.498e-06,3.474e-06,2.71e-05,1.784e-09,3.254e-05,2.767e-05,9.264e-05,9.422e-05
3930,3.444e-06,3.459e-06,3.444e-06,3.459e-06,2.447e-05,1.747e-09,3.214e-05,2.723e-05,9.194e-05,9.08e-05
3940,3.394e-06,3.408e-06,3.394e-06,3.408e-06,2.644e-05,1.747e-09,3.211e-05,2.72e-05,9.308e-05,9.212e-05
3950,3.347e-06,3.375e-06,3.347e-06,3.375e-06,2.527e-05,1.713e-09,3.2e-05,2.673e-05,9.213e-05,9.011e-05
3960,3.299e-06,3.306e-06,3.299e-06,3.306e-06,2.567e-05,1.673e-09,3.048e-05,2.589e-05,8.944e-05,8.97e-05
3970,3.258e-06,3.259e-06,3.258e-06,3.259e-06,2.467e-05,1.674e-09,3.145e-05,2.651e-05,9.036e-05,8.599e-05
3980,3.198e-06,3.236e-06,3.198e-06,3.236e-06,2.526e-05,1.668e-09,3.075e-05,2.525e-05,8.955e-05,8.877e-05
3990,3.226e-06,3.183e-06,3.226e-06,3.183e-06,2.483e-05,1.656e-09,3.06e-05,2.57e-05,8.671e-05,8.774e-05
4000,3.117e-06,3.119e-06,3.117e-06,3.119e-06,2.484e-05,1.626e-09,3.036e-05,2.557e-05,8.784e-05,8.737e-05
4010,3.062e-06,3.086e-06,3.062e-06,3.086e-06,2.377e-05,1.621e-09,2.997e-05,2.535e-05,8.407e-05,8.687e-05
4020,3.052e-06,2.974e-06,3.052e-06,2.974e-06,2.416e-05,1.592e-09,2.976e-05,2.514e-05,8.607e-05,8.481e-05
4030,3.007e-06,2.99e-06,3.007e-06,2.99e-06,2.417e-05,1.595e-09,2.973e-05,2.476e-05,8.571e-05,8.587e-05
4040,2.928e-06,2.986e-06,2.928e-06,2.986e-06,2.371e-05,1.571e-09,2.921e-05,2.461e-05,8.396e-05,8.07e-05
4050,2.9e-06,2.934e-06,2.9e-06,2.934e-06,2.384e-05,1.525e-09,2.842e-05,2.45e-05,8.43e-05,8.201e-05
4060,2.883e-06,2.877e-06,2.883e-06,2.877e-06,2.336e-05,1.55e-09,2.863e-05,2.416e-05,8.248e-05,7.429e-05
4070,2.835e-06,2.853e-06,2.835e-06,2.853e-06,2.253e-05,1.523e-09,2.801e-05,2.361e-05,8.339e-05,8.137e-05
4080,2.857e-06,2.807e-06,2.857e-06,2.807e-06,2.291e-05,1.51e-09,2.804e-05,2.358e-05,8.117e-05,7.97e-05
4090,2.754e-06,2.751e-06,2.754e-06,2.751e-06,2.276e-05,1.485e-09,2.761e-05,2.341e-05,8.009e-05,7.63e-05
4100,2.766e-06,2.707e-06,2.766e-06,2.707e-06,2.234e-05,1.455e-09,2.765e-05,2.346e-05,7.975e-05,7.917e-05
4110,2.662e-06,2.704e-06,2.662e-06,2.704e-06,2.098e-05,1.431e-09,2.743e-05,2.287e-05,7.942e-05,7.423e-05
4120,2.62e-06,2.657e-06,2.62e-06,2.657e-06,2.19e-05,1.449e-09,2.683e-05,2.295e-05,7.873e-05,7.49e-05
4130,2.563e-06,2.61e-06,2.563e-06,2.61e-06,2.169e-05,1.441e-09,2.669e-05,2.259e-05,7.81e-05,7.64e-05
4140,2.565e-06,2.603e-06,2.565e-06,2.603e-06,2.198e-05,1.421e-09,2.657e-05,2.236e-05,7.75e-05,6.524e-05
4150,2.526e-06,2.524e-06,2.526e-06,2.524e-06,2.146e-05,1.414e-09,2.612e-05,2.221e-05,7.39e-05,7.562e-05
4160,2.506e-06,2.515e-06,2.506e-06,2.515e-06,2.134e-05,1.394e-09,2.613e-05,2.19e-05,7.058e-05,7.324e-05
4170,2.462e-06,2.474e-06,2.462e-06,2.474e-06,2.126e-05,1.384e-09,2.543e-05,2.168e-05,6.79e-05,7.399e-05
4180,2.42e-06,2.429e-06,2.42e-06,2.429e-06,2.084e-05,1.332e-09,2.508e-05,2.174e-05,7.389e-05,7.284e-05
4190,2.401e-06,2.409e-06,2.401e-06,2.409e-06,2.058e-05,1.351e-09,2.531e-05,2.099e-05,7.233e-05,7.293e-05
4200,2.364e-06,2.379e-06,2.364e-06,2.379e-06,2.047e-05,1.333e-09,2.492e-05,2.097e-05,7.295e-05,7.161e-05
4210,2.376e-06,2.373e-06,2.376e-06,2.373e-06,2.02e-05,1.323e-09,2.455e-05,2.091e-05,7.227e-05,7.129e-05
4220,2.316e-06,2.303e-06,2.316e-06,2.303e-06,2.004e-05,1.312e-09,2.46e-05,2.055e-05,7.178e-05,7.051e-05
4230,2.295e-06,2.295e-06,2.295e-06,2.295e-06,2.004e-05,1.321e-09,2.412e-05,2.038e-05,7.022e-05,7.029e-05
4240,2.25e-06,2.259e-06,2.25e-06,2.259e-06,1.819e-05,1.303e-09,2.369e-05,2.046e-05,6.985e-05,6.795e-05
4250,2.211e-06,2.222e-06,2.211e-06,2.222e-06,1.889e-05,1.26e-09,2.344e-05,2.019e-05,6.911e-05,6.848e-05
4260,2.163e-06,2.192e-06,2.163e-06,2.192e-06,1.917e-05,1.258e-09,2.344e-05,1.977e-05,6.798e-05,6.736e-05
4270,2.225e-06,2.167e-06,2.225e-06,2.167e-06,1.923e-05,1.251e-09,2.345e-05,1.962e-05,6.702e-05,6.734e-05
4280,2.134e-06,2.149e-06,2.134e-06,2.149e-06,1.884e-05,1.251e-09,2.351e-05,1.949e-05,6.714e-05,6.063e-05
4290,2.138e-06,2.126e-06,2.138e-06,2.126e-06,1.874e-05,1.219e-09,2.305e-05,1.957e-05,6.709e-05,6.548e-05
4300,2.124e-06,2.094e-06,2.124e-06,2.094e-06,1.878e-05,1.206e-09,2.276e-05,1.938e-05,6.659e-05,6.209e-05
4310,2.076e-06,2.058e-06,2.076e-06,2.058e-06,1.837e-05,1.188e-09,2.253e-05,1.835e-05,6.422e-05,6.385e-05
4320,2.036e-06,2.036e-06,2.036e-06,2.036e-06,1.838e-05,1.181e-09,2.274e-05,1.842e-05,6.492e-05,6.365e-05
4330,1.971e-06,2.018e-06,1.971e-06,2.018e-06,1.834e-05,1.205e-09,2.193e-05,1.839e-05,6.404e-05,6.373e-05
4340,1.994e-06,1.984e-06,1.994e-06,1.984e-06,1.781e-05,1.174e-09,2.21e-05,1.858e-05,6.266e-05,6.32e-05
4350,1.91e-06,1.946e-06,1.91e-06,1.946e-06,1.788e-05,1.167e-09,2.211e-05,1.81e-05,6.279e-05,6.242e-05
4360,1.944e-06,1.946e-06,1.944e-06,1.946e-06,1.784e-05,1.165e-09,2.153e-05,1.827e-05,6.325e-05,6.125e-05
4370,1.913e-06,1.937e-06,1.913e-06,1.937e-06,1.687e-05,1.142e-09,2.148e-05,1.804e-05,6.116e-05,6.162e-05
4380,1.899e-06,1.893e-06,1.899e-06,1.893e-06,1.706e-05,1.119e-09,2.104e-05,1.789e-05,6.155e-05,6.039e-05
4390,1.861e-06,1.867e-06,1.861e-06,1.867e-06,1.708e-05,1.123e-09,2.111e-05,1.761e-05,6.077e-05,6.08e-05
4400,1.855e-06,1.849e-06,1.855e-06,1.849e-06,1.695e-05,1.111e-09,2.111e-05,1.746e-05,6.049e-05,5.979e-05
4410,1.86e-06,1.844e-06,1.86e-06,1.844e-06,1.583e-05,1.114e-09,2.047e-05,1.743e-05,5.948e-05,5.774e-05
4420,1.821e-06,1.825e-06,1.821e-06,1.825e-06,1.671e-05,1.066e-09,2.045e-05,1.736e-05,5.851e-05,5.863e-05
4430,1.727e-06,1.783e-06,1.727e-06,1.783e-06,1.623e-05,1.07e-09,2.009e-05,1.704e-05,5.712e-05,5.878e-05
4440,1.745e-06,1.767e-06,1.745e-06,1.767e-06,1.627e-05,1.091e-09,1.995e-05,1.71e-05,5.64e-05,5.783e-05
4450,1.772e-06,1.745e-06,1.772e-06,1.745e-06,1.639e-05,1.061e-09,1.991e-05,1.656e-05,5.67e-05,5.72e-05
4460,1.727e-06,1.737e-06,1.727e-06,1.737e-06,1.616e-05,1.056e-09,1.932e-05,1.645e-05,5.541e-05,5.679e-05
4470,1.717e-06,1.722e-06,1.717e-06,1.722e-06,1.588e-05,1.047e-09,1.936e-05,1.651e-05,5.639e-05,5.259e-05
4480,1.689e-06,1.702e-06,1.689e-06,1.702e-06,1.582e-05,1.028e-09,1.937e-05,1.609e-05,5.633e-05,5.414e-05
4490,1.665e-06,1.653e-06,1.665e-06,1.653e-06,1.531e-05,1.019e-09,1.925e-05,1.621e-05,5.584e-05,5.36e-05
4500,1.638e-06,1.64e-06,1.638e-06,1.64e-06,1.591e-05,1.029e-09,1.896e-05,1.586e-05,5.504e-05,5.41e-05
4510,1.634e-06,1.632e-06,1.634e-06,1.632e-06,1.562e-05,1.016e-09,1.889e-05,1.578e-05,5.298e-05,5.416e-05
4520,1.602e-06,1.606e-06,1.602e-06,1.606e-06,1.497e-05,9.956e-10,1.861e-05,1.588e-05,5.053e-05,5.358e-05
4530,1.584e-06,1.583e-06,1.584e-06,1.583e-06,1.523e-05,9.887e-10,1.83e-05,1.515e-05,5.387e-05,5.339e-05
4540,1.588e-06,1.58e-06,1.588e-06,1.58e-06,1.497e-05,9.738e-10,1.851e-05,1.538e-05,5.38e-05,5.282e-05
4550,1.567e-06,1.555e-06,1.567e-06,1.555e-06,1.479e-05,9.661e-10,1.809e-05,1.543e-05,5.212e-05,5.199e-05
4560,1.56e-06,1.521e-06,1.56e-06,1.521e-06,1.483e-05,9.683e-10,1.812e-05,1.511e-05,5.175e-05,5.199e-05
4570,1.522e-06,1.514e-06,1.522e-06,1.514e-06,1.47e-05,9.564e-10,1.79e-05,1.502e-05,5.194e-05,5.105e-05
4580,1.512e-06,1.494e-06,1.512e-06,1.494e-06,1.442e-05,9.48e-10,1.769e-05,1.482e-05,5.171e-05,5.088e-05
4590,1.49e-06,1.478e-06,1.49e-06,1.478e-06,1.404e-05,9.446e-10,1.752e-05,1.48e-05,5.051e-05,4.878e-05
4600,1.483e-06,1.489e-06,1.483e-06,1.489e-06,1.307e-05,9.362e-10,1.755e-05,1.454e-05,5.048e-05,5.015e-05
4610,1.463e-06,1.448e-06,1.463e-06,1.448e-06,1.382e-05,9.238e-10,1.722e-05,1.432e-05,5.028e-05,5.011e-05
4620,1.43e-06,1.453e-06,1.43e-06,1.453e-06,1.364e-05,9.145e-10,1.727e-05,1.447e-05,4.857e-05,4.868e-05
4630,1.409e-06,1.427e-06,1.409e-06,1.427e-06,1.409e-05,9.1e-10,1.688e-05,1.443e-05,4.797e-05,4.665e-05
4640,1.415e-06,1.401e-06,1.415e-06,1.401e-06,1.37e-05,8.958e-10,1.671e-05,1.411e-05,4.884e-05,4.701e-05
4650,1.401e-06,1.394e-06,1.401e-06,1.394e-06,1.338e-05,8.973e-10,1.655e-05,1.412e-05,4.625e-05,4.833e-05
4660,1.373e-06,1.381e-06,1.373e-06,1.381e-06,1.367e-05,8.948e-10,1.677e-05,1.407e-05,4.561e-05,4.788e-05
4670,1.367e-06,1.354e-06,1.367e-06,1.354e-06,1.312e-05,8.836e-10,1.636e-05,1.382e-05,4.643e-05,4.693e-05
4680,1.349e-06,1.354e-06,1.349e-06,1.354e-06,1.322e-05,8.7e-10,1.628e-05,1.383e-05,4.761e-05,4.68e-05
4690,1.347e-06,1.339e-06,1.347e-06,1.339e-06,1.269e-05,8.481e-10,1.615e-05,1.367e-05,4.709e-05,4.657e-05
4700,1.322e-06,1.332e-06,1.322e-06,1.332e-06,1.256e-05,8.564e-10,1.617e-05,1.344e-05,4.608e-05,4.509e-05
4710,1.309e-06,1.286e-06,1.309e-06,1.286e-06,1.305e-05,8.455e-10,1.596e-05,1.328e-05,4.578e-05,4.6e-05
4720,1.296e-06,1.307e-06,1.296e-06,1.307e-06,1.293e-05,8.476e-10,1.529e-05,1.324e-05,4.479e-05,4.523e-05
4730,1.298e-06,1.285e-06,1.298e-06,1.285e-06,1.256e-05,8.365e-10,1.533e-05,1.299e-05,4.44e-05,4.464e-05
4740,1.281e-06,1.285e-06,1.281e-06,1.285e-06,1.272e-05,8.138e-10,1.539e-05,1.289e-05,4.447e-05,4.456e-05
4750,1.28e-06,1.261e-06,1.28e-06,1.261e-06,1.27e-05,8.166e-10,1.539e-05,1.275e-05,4.49e-05,4.436e-05
4760,1.23e-06,1.248e-06,1.23e-06,1.248e-06,1.241e-05,8.083e-10,1.512e-05,1.283e-05,3.808e-05,4.293e-05
4770,1.241e-06,1.221e-06,1.241e-06,1.221e-06,1.226e-05,8.074e-10,1.52e-05,1.275e-05,4.356e-05,4.375e-05
4780,1.215e-06,1.212e-06,1.215e-06,1.212e-06,1.236e-05,7.906e-10,1.466e-05,1.265e-05,4.269e-05,4.238e-05
4790,1.204e-06,1.204e-06,1.204e-06,1.204e-06,1.23e-05,7.981e-10,1.403e-05,1.257e-05,4.369e-05,4.294e-05
4800,1.201e-06,1.192e-06,1.201e-06,1.192e-06,1.204e-05,7.87e-10,1.461e-05,1.231e-05,4.239e-05,4.214e-05
4810,1.177e-06,1.17e-06,1.177e-06,1.17e-06,1.164e-05,7.688e-10,1.467e-05,1.171e-05,4.301e-05,4.194e-05
4820,1.173e-06,1.19e-06,1.173e-06,1.19e-06,1.195e-05,7.696e-10,1.448e-05,1.193e-05,4.05e-05,4.186e-05
4830,1.151e-06,1.158e-06,1.151e-06,1.158e-06,1.196e-05,7.588e-10,1.436e-05,1.211e-05,3.939e-05,4.162e-05
4840,1.151e-06,1.149e-06,1.151e-06,1.149e-06,1.165e-05,7.656e-10,1.427e-05,1.2e-05,3.958e-05,3.983e-05
4850,1.135e-06,1.131e-06,1.135e-06,1.131e-06,1.14e-05,7.543e-10,1.376e-05,1.198e-05,4.18e-05,4.071e-05
4860,1.122e-06,1.131e-06,1.122e-06,1.131e-06,1.142e-05,7.473e-10,1.385e-05,1.178e-05,4.105e-05,4.012e-05
4870,1.12e-06,1.116e-06,1.12e-06,1.116e-06,1.126e-05,7.392e-10,1.376e-05,1.156e-05,4.028e-05,3.996e-05
4880,1.097e-06,1.118e-06,1.097e-06,1.118e-06,1.097e-05,7.335e-10,1.353e-05,1.154e-05,3.946e-05,3.867e-05
4890,1.102e-06,1.101e-06,1.102e-06,1.101e-06,1.134e-05,7.347e-10,1.378e-05,1.157e-05,4.005e-05,3.904e-05
4900,1.077e-06,1.075e-06,1.077e-06,1.075e-06,1.118e-05,7.185e-10,1.358e-05,1.133e-05,3.956e-05,3.905e-05
4910,1.067e-06,1.083e-06,1.067e-06,1.083e-06,1.111e-05,7.266e-10,1.342e-05,1.123e-05,3.927e-05,3.878e-05
4920,1.052e-06,1.054e-06,1.052e-06,1.054e-06,1.072e-05,7.189e-10,1.335e-05,1.128e-05,3.861e-05,3.845e-05
4930,1.05e-06,1.065e-06,1.05e-06,1.065e-06,1.08e-05,7.125e-10,1.309e-05,1.103e-05,3.848e-05,3.81e-05
4940,1.047e-06,1.038e-06,1.047e-06,1.038e-06,1.098e-05,7.011e-10,1.321e-05,1.105e-05,3.775e-05,3.737e-05
4950,1.028e-06,1.041e-06,1.028e-06,1.041e-06,1.061e-05,6.973e-10,1.304e-05,1.08e-05,3.785e-05,3.674e-05
4960,1.03e-06,1.009e-06,1.03e-06,1.009e-06,1.042e-05,6.915e-10,1.273e-05,1.086e-05,3.764e-05,3.698e-05
4970,1.017e-06,1.025e-06,1.017e-06,1.025e-06,1.057e-05,6.759e-10,1.28e-05,1.075e-05,3.727e-05,3.612e-05
4980,1.013e-06,1.002e-06,1.013e-06,1.002e-06,1.03e-05,6.763e-10,1.233e-05,1.078e-05,3.714e-05,3.68e-05
4990,9.87e-07,9.922e-07,9.87e-07,9.922e-07,1.038e-05,6.797e-10,1.259e-05,1.062e-05,3.624e-05,3.606e-05
5000,9.791e-07,9.852e-07,9.791e-07,9.852e-07,1.039e-05,6.717e-10,1.255e-05,1.044e-05,3.606e-05,3.602e-05
